PRCP,SNOW,DATE,STATION
    5,    0,2008-01-06,US1KYSC0009
    3,    0,2008-01-07,US1KYSC0009
    0,    0,2008-01-08,US1KYSC0009
  173,    0,2008-01-09,US1KYSC0009
    0,    0,2008-01-10,US1KYSC0009
  457,    0,2008-01-11,US1KYSC0009
    3,    0,2008-01-12,US1KYSC0009
   28,    0,2008-01-29,US1KYSC0009
  244,    0,2008-01-30,US1KYSC0009
    0,    0,2008-01-31,US1KYSC0009
  107,    0,2008-02-01,US1KYSC0009
    0,    0,2008-02-02,US1KYSC0009
    0,    0,2008-02-03,US1KYSC0009
   28,    0,2008-02-04,US1KYSC0009
  127,    0,2008-02-05,US1KYSC0009
  351,    0,2008-02-06,US1KYSC0009
  157,    0,2008-02-07,US1KYSC0009
    0,    0,2008-02-08,US1KYSC0009
    0,    0,2008-02-09,US1KYSC0009
    0,    0,2008-02-10,US1KYSC0009
    0,    0,2008-02-11,US1KYSC0009
    0,    0,2008-02-20,US1KYSC0009
  218,    0,2008-02-25,US1KYSC0009
   64,    0,2008-02-26,US1KYSC0009
   64,    0,2008-02-28,US1KYSC0009
    0,    0,2008-02-29,US1KYSC0009
   36,    0,2008-03-01,US1KYSC0009
    0,    0,2008-03-02,US1KYSC0009
  315,    0,2008-03-04,US1KYSC0009
  117,    0,2008-03-05,US1KYSC0009
    0,    0,2008-03-07,US1KYSC0009
    0,    0,2008-03-15,US1KYSC0009
  117,    0,2008-03-16,US1KYSC0009
    0,    0,2008-03-17,US1KYSC0009
  508,    0,2008-03-20,US1KYSC0009
    0,    0,2008-03-21,US1KYSC0009
    0,    0,2008-03-22,US1KYSC0009
    0,    0,2008-03-23,US1KYSC0009
    0,    0,2008-03-24,US1KYSC0009
    0,    0,2008-03-25,US1KYSC0009
    0,    0,2008-03-26,US1KYSC0009
  183,    0,2008-03-27,US1KYSC0009
  264,    0,2008-03-28,US1KYSC0009
  102,    0,2008-03-29,US1KYSC0009
    0,    0,2008-03-30,US1KYSC0009
    0,    0,2008-03-31,US1KYSC0009
   48,    0,2008-04-01,US1KYSC0009
    0,    0,2008-04-02,US1KYSC0009
    0,    0,2008-04-03,US1KYSC0009
  851,    0,2008-04-04,US1KYSC0009
   89,    0,2008-04-05,US1KYSC0009
    0,    0,2008-04-06,US1KYSC0009
    0,    0,2008-04-07,US1KYSC0009
    0,    0,2008-04-08,US1KYSC0009
    0,    0,2008-04-09,US1KYSC0009
    0,    0,2008-04-10,US1KYSC0009
   74,    0,2008-04-11,US1KYSC0009
   58,    0,2008-04-12,US1KYSC0009
    5,    0,2008-04-13,US1KYSC0009
    8,    0,2008-04-14,US1KYSC0009
    0,    0,2008-04-15,US1KYSC0009
    0,    0,2008-04-16,US1KYSC0009
    0,    0,2008-04-17,US1KYSC0009
    0,    0,2008-04-18,US1KYSC0009
    8,    0,2008-04-19,US1KYSC0009
    0,    0,2008-04-22,US1KYSC0009
    0,    0,2008-04-23,US1KYSC0009
    0,    0,2008-04-24,US1KYSC0009
    0,    0,2008-04-25,US1KYSC0009
    5,    0,2008-04-26,US1KYSC0009
   71,    0,2008-04-28,US1KYSC0009
   20,    0,2008-04-29,US1KYSC0009
    0,    0,2008-04-30,US1KYSC0009
    0,    0,2008-05-01,US1KYSC0009
    0,    0,2008-05-02,US1KYSC0009
  274,    0,2008-05-03,US1KYSC0009
   15,    0,2008-05-04,US1KYSC0009
    0,    0,2008-05-05,US1KYSC0009
    0,    0,2008-05-06,US1KYSC0009
    0,    0,2008-05-07,US1KYSC0009
   64,    0,2008-05-08,US1KYSC0009
  173,    0,2008-05-09,US1KYSC0009
   64,    0,2008-05-10,US1KYSC0009
  216,    0,2008-05-12,US1KYSC0009
    0,    0,2008-05-13,US1KYSC0009
    0,    0,2008-05-14,US1KYSC0009
  102,    0,2008-05-15,US1KYSC0009
  165,    0,2008-05-16,US1KYSC0009
    5,    0,2008-05-17,US1KYSC0009
   36,    0,2008-05-18,US1KYSC0009
    0,    0,2008-05-19,US1KYSC0009
   43,    0,2008-05-20,US1KYSC0009
    5,    0,2008-05-21,US1KYSC0009
  178,    0,2008-05-28,US1KYSC0009
    8,    0,2008-05-29,US1KYSC0009
    0,    0,2008-05-30,US1KYSC0009
    0,    0,2008-06-02,US1KYSC0009
    0,    0,2008-06-03,US1KYSC0009
  254,    0,2008-06-04,US1KYSC0009
    5,    0,2008-06-05,US1KYSC0009
    0,    0,2008-06-06,US1KYSC0009
    0,    0,2008-06-07,US1KYSC0009
    0,    0,2008-06-08,US1KYSC0009
    0,    0,2008-06-09,US1KYSC0009
   48,    0,2008-06-10,US1KYSC0009
    0,    0,2008-06-11,US1KYSC0009
    0,    0,2008-06-12,US1KYSC0009
    0,    0,2008-06-13,US1KYSC0009
  498,    0,2008-06-14,US1KYSC0009
    0,    0,2008-06-15,US1KYSC0009
    0,    0,2008-06-16,US1KYSC0009
   46,    0,2008-06-17,US1KYSC0009
    0,    0,2008-06-18,US1KYSC0009
   13,    0,2008-06-19,US1KYSC0009
    0,    0,2008-06-26,US1KYSC0009
  147,    0,2008-06-27,US1KYSC0009
    0,    0,2008-07-08,US1KYSC0009
  112,    0,2008-07-09,US1KYSC0009
   41,    0,2008-07-10,US1KYSC0009
    8,    0,2008-07-11,US1KYSC0009
   51,    0,2008-07-13,US1KYSC0009
    5,    0,2008-07-14,US1KYSC0009
    0,    0,2008-07-15,US1KYSC0009
    0,    0,2008-07-16,US1KYSC0009
    0,    0,2008-07-17,US1KYSC0009
    0,    0,2008-07-18,US1KYSC0009
    0,    0,2008-07-19,US1KYSC0009
    0,    0,2008-07-20,US1KYSC0009
   28,    0,2008-07-21,US1KYSC0009
   56,    0,2008-07-22,US1KYSC0009
    0,    0,2008-07-23,US1KYSC0009
   48,    0,2008-07-24,US1KYSC0009
    0,    0,2008-07-25,US1KYSC0009
    0,    0,2008-07-26,US1KYSC0009
    0,    0,2008-07-27,US1KYSC0009
    0,    0,2008-07-28,US1KYSC0009
  132,    0,2008-07-29,US1KYSC0009
    5,    0,2008-07-30,US1KYSC0009
  203,    0,2008-07-31,US1KYSC0009
   38,    0,2008-08-01,US1KYSC0009
    0,    0,2008-08-02,US1KYSC0009
    0,    0,2008-08-03,US1KYSC0009
    0,    0,2008-08-04,US1KYSC0009
    0,    0,2008-08-05,US1KYSC0009
  122,    0,2008-08-06,US1KYSC0009
    5,    0,2008-08-07,US1KYSC0009
    0,    0,2008-08-08,US1KYSC0009
    0,    0,2008-08-09,US1KYSC0009
    0,    0,2008-08-10,US1KYSC0009
    0,    0,2008-08-11,US1KYSC0009
    0,    0,2008-08-12,US1KYSC0009
    0,    0,2008-08-13,US1KYSC0009
    0,    0,2008-08-14,US1KYSC0009
  183,    0,2008-08-15,US1KYSC0009
    0,    0,2008-08-16,US1KYSC0009
    0,    0,2008-08-17,US1KYSC0009
    0,    0,2008-08-18,US1KYSC0009
    0,    0,2008-08-19,US1KYSC0009
    0,    0,2008-08-20,US1KYSC0009
    0,    0,2008-08-21,US1KYSC0009
    0,    0,2008-08-22,US1KYSC0009
    0,    0,2008-08-23,US1KYSC0009
    0,    0,2008-08-24,US1KYSC0009
    0,    0,2008-08-25,US1KYSC0009
    0,    0,2008-08-26,US1KYSC0009
   46,    0,2008-08-27,US1KYSC0009
    8,    0,2008-08-28,US1KYSC0009
    0,    0,2008-08-29,US1KYSC0009
    5,    0,2008-08-30,US1KYSC0009
    0,    0,2008-08-31,US1KYSC0009
    0,    0,2008-09-01,US1KYSC0009
    0,    0,2008-09-02,US1KYSC0009
    0,    0,2008-09-03,US1KYSC0009
    0,    0,2008-09-04,US1KYSC0009
    0,    0,2008-09-05,US1KYSC0009
  117,    0,2008-09-06,US1KYSC0009
    0,    0,2008-09-07,US1KYSC0009
    0,    0,2008-09-08,US1KYSC0009
   13,    0,2008-09-09,US1KYSC0009
    0,    0,2008-09-10,US1KYSC0009
    0,    0,2008-09-11,US1KYSC0009
  163,    0,2008-09-12,US1KYSC0009
    5,    0,2008-09-13,US1KYSC0009
    0,    0,2008-09-14,US1KYSC0009
    0,    0,2008-09-15,US1KYSC0009
    0,    0,2008-09-16,US1KYSC0009
    0,    0,2008-09-17,US1KYSC0009
    0,    0,2008-09-18,US1KYSC0009
    0,    0,2008-09-19,US1KYSC0009
    0,    0,2008-09-20,US1KYSC0009
    0,    0,2008-09-21,US1KYSC0009
    0,    0,2008-09-22,US1KYSC0009
    0,    0,2008-09-23,US1KYSC0009
    0,    0,2008-09-24,US1KYSC0009
    0,    0,2008-09-25,US1KYSC0009
    0,    0,2008-09-26,US1KYSC0009
    0,    0,2008-09-28,US1KYSC0009
    0,    0,2008-09-29,US1KYSC0009
    0,    0,2008-10-01,US1KYSC0009
    0,    0,2008-10-02,US1KYSC0009
    0,    0,2008-10-03,US1KYSC0009
    0,    0,2008-10-04,US1KYSC0009
    0,    0,2008-10-05,US1KYSC0009
    0,    0,2008-10-06,US1KYSC0009
    0,    0,2008-10-07,US1KYSC0009
  124,    0,2008-10-08,US1KYSC0009
   71,    0,2008-10-09,US1KYSC0009
    0,    0,2008-10-10,US1KYSC0009
    0,    0,2008-10-11,US1KYSC0009
    0,    0,2008-10-12,US1KYSC0009
    0,    0,2008-10-13,US1KYSC0009
    0,    0,2008-10-14,US1KYSC0009
    0,    0,2008-10-15,US1KYSC0009
    0,    0,2008-10-16,US1KYSC0009
   69,    0,2008-10-17,US1KYSC0009
    0,    0,2008-10-18,US1KYSC0009
    0,    0,2008-10-19,US1KYSC0009
    0,    0,2008-10-20,US1KYSC0009
    0,    0,2008-10-21,US1KYSC0009
    0,    0,2008-10-22,US1KYSC0009
    0,    0,2008-10-23,US1KYSC0009
    0,    0,2008-10-24,US1KYSC0009
  188,    0,2008-10-25,US1KYSC0009
    0,    0,2008-10-26,US1KYSC0009
    0,    0,2008-10-30,US1KYSC0009
    0,    0,2008-10-31,US1KYSC0009
    0,    0,2008-11-01,US1KYSC0009
    0,    0,2008-11-02,US1KYSC0009
    0,    0,2008-11-03,US1KYSC0009
    0,    0,2008-11-04,US1KYSC0009
    0,    0,2008-11-05,US1KYSC0009
    0,    0,2008-11-06,US1KYSC0009
    0,    0,2008-11-07,US1KYSC0009
   76,    0,2008-11-08,US1KYSC0009
    0,    0,2008-11-09,US1KYSC0009
    0,    0,2008-11-10,US1KYSC0009
    0,    0,2008-11-11,US1KYSC0009
   15,    0,2008-11-12,US1KYSC0009
   69,    0,2008-11-13,US1KYSC0009
    0,    0,2008-11-14,US1KYSC0009
,,2008-11-16,US1KYSC0009
    0,    0,2008-11-17,US1KYSC0009
    0,    0,2008-11-18,US1KYSC0009
    0,    0,2008-11-19,US1KYSC0009
    0,    0,2008-11-20,US1KYSC0009
    0,    0,2008-11-22,US1KYSC0009
   99,    0,2008-11-24,US1KYSC0009
  127,    0,2008-11-25,US1KYSC0009
    0,    0,2008-11-26,US1KYSC0009
    0,    0,2008-11-27,US1KYSC0009
    0,    0,2008-11-28,US1KYSC0009
    0,    0,2008-11-29,US1KYSC0009
   99,    0,2008-11-30,US1KYSC0009
    8,    0,2008-12-01,US1KYSC0009
    0,    0,2008-12-02,US1KYSC0009
    0,    0,2008-12-03,US1KYSC0009
   64,    0,2008-12-04,US1KYSC0009
    0,    0,2008-12-05,US1KYSC0009
    0,    0,2008-12-08,US1KYSC0009
    0,    0,2008-12-09,US1KYSC0009
  307,    0,2008-12-10,US1KYSC0009
   23,    0,2008-12-11,US1KYSC0009
    3,    0,2008-12-12,US1KYSC0009
    0,    0,2008-12-13,US1KYSC0009
    0,    0,2009-06-01,US1KYSC0009
