"country","InSouthernHemisphere","Continent"
"Indonesia","Mostly","Asia"
"Brazil","Mostly","South America"
"DR Congo","Mostly","Africa"
"Tanzania","Entirely","Africa"
"South Africa","Entirely","Africa"
"Kenya","Partially","Africa"
"Colombia","Partially","South America"
"Uganda","Partially","Africa"
"Argentina","Entirely","South America"
"Angola","Entirely","Africa"
"Mozambique","Entirely","Africa"
"Peru","Entirely","South America"
"Madagascar","Entirely","Africa"
"Australia","Entirely","Oceania"
"Malawi","Entirely","Africa"
"Zambia","Entirely","Africa"
"Chile","Entirely","South America"
"Somalia","Partially","Africa"
"Ecuador","Mostly","South America"
"Zimbabwe","Entirely","Africa"
"Rwanda","Entirely","Africa"
"Burundi","Entirely","Africa"
"Bolivia","Entirely","South America"
"Papua New Guinea","Entirely","Oceania"
"Paraguay","Entirely","South America"
"Republic of the Congo","Mostly","Africa"
"New Zealand","Entirely","Oceania"
"Uruguay","Entirely","South America"
"Botswana","Entirely","Africa"
"Namibia","Entirely","Africa"
"Gabon","Mostly","Africa"
"Lesotho","Entirely","Africa"
"Equatorial Guinea","Entirely","Africa"
"Timor-Leste","Entirely","Asia"
"Mauritius","Entirely","Africa"
"Eswatini","Entirely","Africa"
"Reunion","Entirely","Africa"
"Fiji","Entirely","Oceania"
"Comoros","Entirely","Africa"
"Solomon Islands","Entirely","Oceania"
"Maldives","Partially","Asia"
"Mayotte","Entirely","Africa"
"Vanuatu","Entirely","Oceania"
"French Polynesia","Entirely","Oceania"
"Sao Tome and Principe","Partially","Africa"
"Samoa","Entirely","Oceania"
"Kiribati","Mostly","Oceania"
"Tonga","Entirely","Oceania"
"Seychelles","Entirely","Africa"
"American Samoa","Entirely","Oceania"
"Cook Islands","Entirely","Oceania"
"Nauru","Entirely","Oceania"
"Tuvalu","Entirely","Oceania"
"Wallis and Futuna","Entirely","Oceania"
"Falkland Islands","Entirely","South America"
"Tokelau","Entirely","Oceania"